date,,compound,neg,neu,pos
1/1/20,,0.100409091,0.055454545,0.867090909,0.077454545
1/2/20,,0.120690909,0.032,0.897909091,0.070090909
1/3/20,,0.12891,0.0449,0.8702,0.0848
1/6/20,,-0.05681,0.094,0.8134,0.0925
1/7/20,,0.1109625,0.049875,0.8845,0.065625
1/8/20,,0.480728571,0.016571429,0.834428571,0.149
1/9/20,,0.104675,0.076,0.842875,0.08125
1/10/20,,0.374555556,0.027222222,0.830111111,0.142666667
1/13/20,,0.27110625,0.04275,0.8519375,0.105375
1/14/20,,0.134763636,0.056181818,0.858272727,0.085545455
1/15/20,,-0.001273333,0.068933333,0.857533333,0.073466667
1/16/20,,0.303578571,0.041857143,0.807357143,0.150785714
1/17/20,,-0.075371429,0.105857143,0.820571429,0.073571429
1/20/20,,0.085222222,0.048222222,0.899333333,0.052333333
1/21/20,,0.33474,0.0412,0.8436,0.1152
1/22/20,,0.145057143,0.073857143,0.814857143,0.111357143
1/23/20,,0.172953333,0.0622,0.830933333,0.1068
1/24/20,,0.242766667,0.041111111,0.879666667,0.079222222
1/27/20,,0.328817391,0.027565217,0.838782609,0.133565217
1/28/20,,0.053445161,0.062483871,0.870903226,0.066612903
1/29/20,,0.330218182,0.032090909,0.828272727,0.139727273
1/30/20,,0.253591667,0.014,0.907666667,0.07825
1/31/20,,-0.030311765,0.100411765,0.841705882,0.058117647
2/3/20,,0.25724,0.0364,0.8856,0.078
2/4/20,,0.0853,0.111777778,0.744444444,0.143777778
2/5/20,,0.133127273,0.069181818,0.787909091,0.142818182
2/6/20,,0.128728571,0.073214286,0.823357143,0.103357143
2/7/20,,0.135208333,0.047416667,0.8745,0.078083333
2/10/20,,0.202633333,0.028888889,0.880555556,0.090555556
2/11/20,,0.21585,0.0445,0.8588125,0.096625
2/12/20,,0.38921,0.0077,0.8713,0.1209
2/13/20,,0.122075,0.0632,0.85605,0.08075
2/14/20,,0.376486667,0.0054,0.875266667,0.119266667
2/17/20,,0.2933,0,0.886142857,0.113857143
2/18/20,,-0.131772727,0.073454545,0.869818182,0.056909091
2/19/20,,0.203377778,0.046444444,0.842666667,0.110888889
2/20/20,,0.185966667,0.013333333,0.914666667,0.072
2/21/20,,0.080122222,0.054444444,0.864666667,0.080888889
2/24/20,,0.055085714,0.051,0.888428571,0.060714286
2/25/20,,0.283293333,0.016133333,0.874933333,0.108933333
2/26/20,,0.12575,0.048428571,0.831642857,0.119928571
2/27/20,,0.080852941,0.052823529,0.874235294,0.073
2/28/20,,0.156511111,0.080222222,0.8065,0.113222222
3/2/20,,0.224066667,0.017777778,0.8875,0.094694444
3/3/20,,0.365703125,0.02596875,0.828,0.14603125
3/4/20,,0.103108108,0.052054054,0.861054054,0.086891892
3/5/20,,0.139142857,0.057214286,0.836285714,0.106571429
3/6/20,,0.159233333,0.032,0.895666667,0.072428571
3/9/20,,0.040069231,0.052538462,0.869692308,0.077846154
3/10/20,,0.27324375,0.0773125,0.7908125,0.1319375
3/11/20,,-0.008746154,0.085230769,0.843692308,0.071
3/12/20,,0.070172,0.05756,0.84956,0.09288
3/13/20,,0.052362963,0.06537037,0.859814815,0.074851852
3/16/20,,0.125190909,0.036818182,0.880409091,0.082727273
