date,id,compound,neg,neu,pos
2020-01-06 00:00:00+00:00,1.21E+18,-0.05681,0.094,0.8134,0.0925
2020-01-07 00:00:00+00:00,1.21E+18,0.1109625,0.049875,0.8845,0.065625
2020-01-08 00:00:00+00:00,1.21E+18,0.480728571,0.016571429,0.834428571,0.149
2020-01-09 00:00:00+00:00,1.22E+18,0.104675,0.076,0.842875,0.08125
2020-01-10 00:00:00+00:00,1.22E+18,0.374555556,0.027222222,0.830111111,0.142666667
2020-01-13 00:00:00+00:00,1.22E+18,0.27110625,0.04275,0.8519375,0.105375
2020-01-14 00:00:00+00:00,1.22E+18,0.134763636,0.056181818,0.858272727,0.085545455
2020-01-15 00:00:00+00:00,1.22E+18,-0.001273333,0.068933333,0.857533333,0.073466667
2020-01-16 00:00:00+00:00,1.22E+18,0.303578571,0.041857143,0.807357143,0.150785714
2020-01-17 00:00:00+00:00,1.22E+18,-0.075371429,0.105857143,0.820571429,0.073571429
2020-01-20 00:00:00+00:00,1.22E+18,0.085222222,0.048222222,0.899333333,0.052333333
2020-01-21 00:00:00+00:00,1.22E+18,0.33474,0.0412,0.8436,0.1152
2020-01-22 00:00:00+00:00,1.22E+18,0.145057143,0.073857143,0.814857143,0.111357143
2020-01-23 00:00:00+00:00,1.22E+18,0.172953333,0.0622,0.830933333,0.1068
2020-01-24 00:00:00+00:00,1.22E+18,0.242766667,0.041111111,0.879666667,0.079222222
2020-01-27 00:00:00+00:00,1.22E+18,0.328817391,0.027565217,0.838782609,0.133565217
2020-01-28 00:00:00+00:00,1.22E+18,0.053445161,0.062483871,0.870903226,0.066612903
2020-01-29 00:00:00+00:00,1.22E+18,0.330218182,0.032090909,0.828272727,0.139727273
2020-01-30 00:00:00+00:00,1.22E+18,0.253591667,0.014,0.907666667,0.07825
2020-01-31 00:00:00+00:00,1.22E+18,-0.030311765,0.100411765,0.841705882,0.058117647
2020-02-03 00:00:00+00:00,1.22E+18,0.25724,0.0364,0.8856,0.078
2020-02-04 00:00:00+00:00,1.22E+18,0.0853,0.111777778,0.744444444,0.143777778
2020-02-05 00:00:00+00:00,1.23E+18,0.133127273,0.069181818,0.787909091,0.142818182
2020-02-06 00:00:00+00:00,1.23E+18,0.128728571,0.073214286,0.823357143,0.103357143
2020-02-07 00:00:00+00:00,1.23E+18,0.135208333,0.047416667,0.8745,0.078083333
2020-02-10 00:00:00+00:00,1.23E+18,0.202633333,0.028888889,0.880555556,0.090555556
2020-02-11 00:00:00+00:00,1.23E+18,0.21585,0.0445,0.8588125,0.096625
2020-02-12 00:00:00+00:00,1.23E+18,0.38921,0.0077,0.8713,0.1209
2020-02-13 00:00:00+00:00,1.23E+18,0.122075,0.0632,0.85605,0.08075
